#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 04 22 00 295 14.7 18.9 99.00 99.00 99.00 999 1028.5 -19.7 999.0 -22.7 99.0 99.00
2015 01 04 23 00 297 14.1 17.7 99.00 99.00 99.00 999 1029.7 -20.2 999.0 -23.1 99.0 99.00
2015 01 05 00 00 288 13.8 16.8 99.00 99.00 99.00 999 1030.4 -20.7 999.0 -23.2 99.0 99.00
2015 01 05 01 00 298 12.7 16.6 99.00 99.00 99.00 999 1030.9 -20.7 999.0 -23.7 99.0 99.00
2015 01 05 02 00 299 14.0 17.0 99.00 99.00 99.00 999 1030.9 -21.0 999.0 -23.5 99.0 99.00
2015 01 05 03 00 302 11.4 15.2 99.00 99.00 99.00 999 1031.1 -21.1 999.0 -23.5 99.0 99.00
2015 01 05 04 00 289 10.6 14.2 99.00 99.00 99.00 999 1031.1 -21.2 999.0 -24.0 99.0 99.00
2015 01 05 05 00 295 12.1 14.4 99.00 99.00 99.00 999 1031.1 -20.6 999.0 -22.9 99.0 99.00
2015 01 05 06 00 276 10.9 14.2 99.00 99.00 99.00 999 1030.7 -20.7 999.0 -23.4 99.0 99.00
2015 01 05 07 00 277 10.2 13.4 99.00 99.00 99.00 999 1030.8 -21.1 999.0 -23.9 99.0 99.00
2015 01 05 08 00 284 10.5 13.2 99.00 99.00 99.00 999 1031.3 -21.0 999.0 -23.9 99.0 99.00
2015 01 05 09 00 278  8.0 11.2 99.00 99.00 99.00 999 1031.7 -21.5 999.0 -24.4 99.0 99.00
2015 01 05 10 00 279  9.6 13.1 99.00 99.00 99.00 999 1031.5 -20.5 999.0 -22.6 99.0 99.00
2015 01 05 11 00 271 11.5 15.3 99.00 99.00 99.00 999 1031.1 -20.8 999.0 -23.5 99.0 99.00
2015 01 05 12 00 273 10.3 12.4 99.00 99.00 99.00 999 1030.3 -20.1 999.0 -22.5 99.0 99.00
2015 01 05 13 00 262  9.9 13.1 99.00 99.00 99.00 999 1030.1 -19.1 999.0 -21.3 99.0 99.00
2015 01 05 14 00 237 11.3 14.0 99.00 99.00 99.00 999 1030.0 -19.0 999.0 -21.0 99.0 99.00
2015 01 05 15 00 226 11.7 14.7 99.00 99.00 99.00 999 1030.1 -19.6 999.0 -21.6 99.0 99.00
2015 01 05 16 00 263 12.7 13.9 99.00 99.00 99.00 999 1029.9 -18.2 999.0 -20.1 99.0 99.00
2015 01 05 17 00 264  9.4 12.8 99.00 99.00 99.00 999 1029.3 -17.2 999.0 -19.3 99.0 99.00
2015 01 05 18 00 249  9.4 13.1 99.00 99.00 99.00 999 1028.9 -15.8 999.0 -17.7 99.0 99.00
2015 01 05 19 00 222 13.2 17.0 99.00 99.00 99.00 999 1027.8 -16.6 999.0 -18.2 99.0 99.00
2015 01 05 20 00 225 11.7 14.9 99.00 99.00 99.00 999 1026.9 -15.5 999.0 -17.1 99.0 99.00
2015 01 05 21 00 229 10.6 14.1 99.00 99.00 99.00 999 1026.1 -14.9 999.0 -17.3 99.0 99.00
2015 01 05 22 00 220 10.6 12.8 99.00 99.00 99.00 999 1025.6 -13.6 999.0 -16.2 99.0 99.00
2015 01 05 23 00 216  9.9 12.7 99.00 99.00 99.00 999 1025.4 -14.9 999.0 -18.6 99.0 99.00
2015 01 06 00 00 218 10.5 13.6 99.00 99.00 99.00 999 1025.7 -15.3 999.0 -18.0 99.0 99.00
2015 01 06 01 00 212  8.9 12.9 99.00 99.00 99.00 999 1025.7 -15.6 999.0 -17.9 99.0 99.00
2015 01 06 02 00 225 10.4 12.7 99.00 99.00 99.00 999 1025.7 -14.4 999.0 -15.8 99.0 99.00
2015 01 06 03 00 221 12.2 15.4 99.00 99.00 99.00 999 1025.9 -15.2 999.0 -17.0 99.0 99.00
2015 01 06 04 00 219 13.1 16.3 99.00 99.00 99.00 999 1025.5 -14.6 999.0 -15.9 99.0 99.00
2015 01 06 05 00 264 11.7 16.3 99.00 99.00 99.00 999 1025.6 -13.1 999.0 -15.7 99.0 99.00
2015 01 06 06 00 263 13.8 15.4 99.00 99.00 99.00 999 1025.2 -13.3 999.0 -16.0 99.0 99.00
2015 01 06 07 00 263 13.0 15.9 99.00 99.00 99.00 999 1024.8 -13.0 999.0 -15.7 99.0 99.00
2015 01 06 08 00 265 12.3 15.6 99.00 99.00 99.00 999 1024.2 -12.6 999.0 -15.5 99.0 99.00
2015 01 06 09 00 270 11.8 15.4 99.00 99.00 99.00 999 1024.1 -12.7 999.0 -15.6 99.0 99.00
2015 01 06 10 00 281  9.9 12.9 99.00 99.00 99.00 999 1023.6 -13.2 999.0 -16.4 99.0 99.00
2015 01 06 11 00 278 14.1 17.8 99.00 99.00 99.00 999 1022.6 -13.7 999.0 -17.4 99.0 99.00
2015 01 06 12 00 277 14.1 16.0 99.00 99.00 99.00 999 1022.4 -14.0 999.0 -17.0 99.0 99.00
2015 01 06 13 00 263 11.7 14.2 99.00 99.00 99.00 999 1021.9 -13.6 999.0 -16.2 99.0 99.00
2015 01 06 14 00 273 11.1 13.6 99.00 99.00 99.00 999 1022.5 -14.3 999.0 -16.4 99.0 99.00
2015 01 06 15 00 280 11.9 13.9 99.00 99.00 99.00 999 1022.5 -14.4 999.0 -16.4 99.0 99.00
2015 01 06 16 00 291 11.2 13.4 99.00 99.00 99.00 999 1022.7 -14.3 999.0 -16.9 99.0 99.00
2015 01 06 17 00 293 11.1 13.3 99.00 99.00 99.00 999 1022.7 -14.2 999.0 -17.3 99.0 99.00
2015 01 06 18 00 306 11.9 14.4 99.00 99.00 99.00 999 1022.0 -13.8 999.0 -17.2 99.0 99.00
2015 01 06 19 00 297 10.7 12.8 99.00 99.00 99.00 999 1021.8 -13.8 999.0 -18.8 99.0 99.00
2015 01 06 20 00 294 11.6 13.9 99.00 99.00 99.00 999 1021.7 -13.4 999.0 -18.9 99.0 99.00
2015 01 06 21 00 292 14.7 17.6 99.00 99.00 99.00 999 1022.1 -13.3 999.0 -19.9 99.0 99.00
2015 01 06 22 00 291 14.8 18.9 99.00 99.00 99.00 999 1022.6 -13.2 999.0 -19.9 99.0 99.00
2015 01 06 23 00 304 13.4 16.0 99.00 99.00 99.00 999 1023.9 -14.1 999.0 -21.0 99.0 99.00
2015 01 07 00 00 318 16.4 18.1 99.00 99.00 99.00 999 1024.8 -14.6 999.0 -23.0 99.0 99.00
2015 01 07 01 00 318 15.4 18.8 99.00 99.00 99.00 999 1025.6 -14.7 999.0 -21.0 99.0 99.00
2015 01 07 02 00 322 14.5 17.7 99.00 99.00 99.00 999 1026.9 -15.4 999.0 -20.0 99.0 99.00
2015 01 07 03 00 323 15.0 18.0 99.00 99.00 99.00 999 1028.3 -16.4 999.0 -21.2 99.0 99.00
2015 01 07 04 00 335 15.0 17.5 99.00 99.00 99.00 999 1030.0 -17.2 999.0 -21.9 99.0 99.00
2015 01 07 05 00 321 13.4 16.7 99.00 99.00 99.00 999 1032.0 -17.8 999.0 -21.8 99.0 99.00
2015 01 07 06 00 316 12.5 17.2 99.00 99.00 99.00 999 1033.1 -18.5 999.0 -22.0 99.0 99.00
2015 01 07 07 00 320 12.4 15.2 99.00 99.00 99.00 999 1034.6 -19.7 999.0 -22.9 99.0 99.00
2015 01 07 08 00 329 14.9 16.7 99.00 99.00 99.00 999 1036.1 -19.8 999.0 -22.3 99.0 99.00
2015 01 07 09 00 330 12.3 14.9 99.00 99.00 99.00 999 1037.5 -20.1 999.0 -22.9 99.0 99.00
2015 01 07 10 00 303  9.9 12.4 99.00 99.00 99.00 999 1038.3 -20.6 999.0 -22.8 99.0 99.00
2015 01 07 11 00 328 12.1 14.2 99.00 99.00 99.00 999 1039.5 -20.8 999.0 -22.9 99.0 99.00
2015 01 07 12 00 329 11.7 15.0 99.00 99.00 99.00 999 1040.3 -21.6 999.0 -24.7 99.0 99.00
2015 01 07 13 00 320 11.6 15.4 99.00 99.00 99.00 999 1041.5 -21.6 999.0 -23.9 99.0 99.00
2015 01 07 14 00 311 12.3 14.7 99.00 99.00 99.00 999 1041.9 -22.2 999.0 -25.1 99.0 99.00
2015 01 07 15 00 296  8.4 10.8 99.00 99.00 99.00 999 1043.0 -21.6 999.0 -24.2 99.0 99.00
2015 01 07 16 00 306 12.6 15.5 99.00 99.00 99.00 999 1042.7 -21.2 999.0 -23.8 99.0 99.00
2015 01 07 17 00 276  6.7  8.3 99.00 99.00 99.00 999 1043.0 -20.6 999.0 -23.4 99.0 99.00
2015 01 07 18 00 274 10.1 13.0 99.00 99.00 99.00 999 1041.7 -20.1 999.0 -23.2 99.0 99.00
